flavor,size,product_description,ingredients,allergens,servings_per_containter,serving_size,calories_per_serving,calories_per_pint,total_fat_per_serving,total_fat_per_pint,total_fat_daily_value_per_serving,total_fat_daily_value_per_pint,saturated_fat_per_serving,saturated_fat_per_pint,saturated_fat_daily_value_per_serving,saturated_fat_daily_value_per_pint,trans_fat_per_serving,trans_fat_per_pint,trans_fat_daily_value_per_serving,trans_fat_daily_value_per_pint,cholesterol_per_serving,cholesterol_per_pint,cholesterol_daily_value_per_serving,cholesterol_daily_value_per_pint,sodium_per_serving,sodium_per_pint,sodium_daily_value_per_serving,sodium_daily_value_per_pint,total_carbohydrate_per_serving,total_carbohydrate_per_pint,carbohydrate_daily_value_per_serving,carbohydrate_daily_value_per_pint,dietary_fiber_per_serving,dietary_fiber_per_pint,dietary_fiber_daily_value_per_serving,dietary_fiber_daily_value_per_pint,total_sugars_per_serving,total_sugars_per_pint,includes_added_sugars_per_serving,includes_added_sugars_per_pint,daily_value_added_sugars_per_serving,daily_value_added_sugars_per_pint,protein_per_serving,protein_per_pint,protein_daily_value_per_serving,protein_daily_value_per_pint,vitamind_per_serving,vitamind_per_pint,vitamind_daily_value_per_serving,vitamind_daily_value_per_pint,calcium_per_serving,calcium_per_pint,calcium_daily_value_per_serving,calcium_daily_value_per_pint,iron_per_serving,iron_per_pint,iron_daily_value_per_serving,iron_daily_value_per_pint,potassium_per_serving,potassium_per_pint,potassium_daily_value_per_serving,potassium_daily_value_per_pint,vitamin_a,vitamin_a_daily_value_per_serving,category--Ice cream,category-Frozen Custard,category--Sherbert,category--Sorbet,category-Gelato,category-Churned,category--No Fat No Sugar,category--Reduced Fat,category--Gustafson's,category--Yogurt,category--Candy,category--Caramel,category--Chocolate,category--Cookies,category--Coffee ,category--Fruit,category--Fudge,category--Mint,category--Nuts,category--Vanilla
Toasted Chocolate Almond Fudge,3 Gallon,Chocolate ice cream blended with Chocolate Fudge & Roasted Almonds,"NONFAT MILK,  BUTTERMILK, CREAM, SUGAR,  FUDGE PIECE [SUGAR, COCONUT  OIL, COCOA PROCESSED WITH  ALKALI, PEANUT OIL (REFINED),  COCOA, NATURAL FLAVOR, SOY  LECITHIN (EMULSIFIER)], CORN  SYRUP, ALMONDS [ALMONDS,  COTTONSEED OIL, SALT], COCOA  PROCESSED WITH ALKALI, WHEY,  STABILIZER [GUAR GUM, MONO &  DIGLYCERIDES, XANTHAN GUM,  POLYSORBATE 80,  CARRAGEENAN], SEA SALT.  ","Milk, Soy, Tree  Nuts.",72,2/3 cup (92g),240,,14g,,18%,,8g,,40%,,0g,,,,20mg,,0%,,80mg,,0%,,25g,,0%,,2g,,0%,,19g,,0g,,0%,,4g,,,,0mg,,0%,,106mg,,0%,,2mg,,0%,,322mg,,0%,,,,x,,,,,,,,,,,,x,,,,x,,x,
UP Mackinac Island Fudge,3 Gallon,Vanilla ice cream chewy Fudge pieces and swirled with a thick Fudge ribbon,"NONFAT MILK,  CREAM, BUTTERMILK, MOCHA  FUDGE SWIRL [CORN SYRUP,  HIGH FRUCTOSE CORN SYRUP,  BUTTERMILK, SUGAR,  CHOCOLATE LIQUOR, MILK, WHEY  POWDER, NATURAL FLAVOR,  COCOA PROCESSED WITH  ALKALI, BUTTER, PECTIN, MONO &  DIGLYCERIDES, SALT, SOY  LECITHIN, XANTHAN GUM], DULCE  DE LECHE SWIRL [SUGAR,  CONDENSED SKIM MILK, HIGH  FRUCTOSE CORN SYRUP, WATER,  BUTTER (CREAM, SALT),  COCONUT OIL, CORN SYRUP,  SALT, NATURAL AND ARTIFICIAL  FLAVORING, PECTIN], SUGAR,  CHOCOLATE ESPRESSO CHUNKS  [CHOCOLATE (SUGAR,  CHOCOLATE LIQUOR, COCOA  BUTTER, SOY LECITHIN), SUGAR,  GLUCOSE SYRUP, BUTTER  (CREAM, SALT), COFFEE, BROWN  SUGAR, CREAM, SALT, SOY  LECITHIN], CORN SYRUP, WHEY,  NATURAL COFFEE FLAVOR  EXTRACT [NATURAL FLAVOR,  INVERT SUGAR SYRUP],  STABILIZER [MONO &  DIGLYCERIDES, GUAR GUM,  LOCUST BEAN GUM,  CARRAGEENAN], SEA SALT  ","Milk, Soy",72,2/3 cup (96g),250,,14g,,18%,,8g,,40%,,0g,,,,25mg,,0%,,85mg,,0%,,27g,,0%,,1g,,0%,,22g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,,,,,,,x,,,x
UP Mint Mackinac Island Fudge,3 Gallon,Green Mint flavored ice cream with chewy fudge pieces and swirled with a thick Fudge ribbon,"NONFAT MILK,  CREAM, BUTTERMILK, MOCHA  FUDGE SWIRL [CORN SYRUP,  HIGH FRUCTOSE CORN SYRUP,  BUTTERMILK, SUGAR,  CHOCOLATE LIQUOR, MILK, WHEY  POWDER, NATURAL FLAVOR,  COCOA PROCESSED WITH  ALKALI, BUTTER, PECTIN, MONO &  DIGLYCERIDES, SALT, SOY  LECITHIN, XANTHAN GUM], DULCE  DE LECHE SWIRL [SUGAR,  CONDENSED SKIM MILK, HIGH  FRUCTOSE CORN SYRUP, WATER,  BUTTER (CREAM, SALT),  COCONUT OIL, CORN SYRUP,  SALT, NATURAL AND ARTIFICIAL  FLAVORING, PECTIN], SUGAR,  CHOCOLATE ESPRESSO CHUNKS  [CHOCOLATE (SUGAR,  CHOCOLATE LIQUOR, COCOA  BUTTER, SOY LECITHIN), SUGAR,  GLUCOSE SYRUP, BUTTER  (CREAM, SALT), COFFEE, BROWN  SUGAR, CREAM, SALT, SOY  LECITHIN], CORN SYRUP, WHEY,  NATURAL COFFEE FLAVOR  EXTRACT [NATURAL FLAVOR,  INVERT SUGAR SYRUP],  STABILIZER [MONO &  DIGLYCERIDES, GUAR GUM,  LOCUST BEAN GUM,  CARRAGEENAN], SEA SALT  ","Milk, Soy",72,2/3 cup (95g),240,,14g,,18%,,8g,,40%,,0g,,,,25mg,,0%,,85mg,,0%,,26g,,0%,,1g,,0%,,22g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,,,,,,,x,x,,
Van' elephant Tracks,3 Gallon,Pieces of Peanut Butter Cups and Chocolate Fudge swirled in Vanilla ice cream,"NONFAT MILK,  CREAM, BUTTERMILK, SUGAR,  CORN SYRUP, PEANUT BUTTER  CUPS [MILK CHOCOLATE (SUGAR,  COCOA BUTTER, CHOCOLATE  LIQUOR, DRY WHOLE MILK, SOY  LECITHIN {EMULSIFIER}, VANILLA  EXTRACT), PEANUT BUTTER,  SUGAR, PALM KERNEL OIL,  LACTOSE, SALT, SOY LECITHIN
{EMULSIFIER}], BUTTER FUDGE E  SWIRL [CORN SYRUP, HIGH  FRUCTOSE CORN SYRUP,  BUTTERMILK, SUGAR, SKIM MILK,  CHOCOLATE LIQUOR, WHEY,  BUTTER (CREAM, SALT), COCOA  PROCESSED WITH ALKALI,  COCOA, SALT, PECTIN, MONO &  DIGLYCERIDES, SALT, SOY  LECITHIN, XANTHAN GUM,  DISODIUM PHOSPHATE, NATURAL  FLAVOR], WHEY, STABILIZER  [MONO & DIGLYCERIDES, GUAR  GUM, LOCUST BEAN GUM,  CARRAGEENAN], VANILLA  EXTRACT, ARTIFICIAL FLAVOR,  SEA SALT, ANNATTO EXTRACT  (COLOR).","Milk, Soy, Peanuts",72,2/3 cup (96g),220,,11g,,14%,,7g,,35%,,0g,,,,25mg,,0%,,85mg,,0%,,27g,,0%,,0g,,0%,,22g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,2mg,,0%,,,,x,,,,,,,,,,x,,,,,,x,,,x
WI Campfire S'mores,3 Gallon, Graham flavored ice cream with crushed peanut Butter Cups and a Marshmellow wirl,"NONFAT MILK,  CREAM, BUTTERMILK,  MARSHMALLOW BASE [CORN  SYRU WATER,SUGAR,NATURAL  FLAVORS, POLYSORBATE 80,  CELLULOSE GUM, CARRAGEENAN],  SUGAR, CORN SYRUP, GRAHAM  FLAVOR [CORN SYRUP, WATER,  SUGAR, MODIFIED CORN STARCH,  CONTAINS 2% OR LESS OF  ARTIFICIAL FLAVOR, CARAMEL  COLOR, MOLASSES, SALT, YELLOW  5, YELLOW 6], PEANUT BUTTER  CUPS [MILK CHOCOLATE (SUGAR,
COCOA BUTTER, CHOCOLATE, MILK,  SOY LECITHIN {EMULSIFIER},  VANILLA EXTRACT), PEANUT BUTTER
(PEANUTS, SUGAR, PALM KERNEL  OIL, LACTOSE, SALT, SOY LECITHIN
{EMULSIFIER})], WHEY, STABILIZER  [MONO & DIGLYCERIDES, GUAR
GUM, LOCUST BEAN GUM,  CARRAGEENAN], SEA SALT.  ","Milk, Soy, Peanut",72,2/3 cup (93g),220,,9g,,12%,,6g,,30%,,0g,,,,20mg,,0%,,65mg,,0%,,33g,,0%,,0g,,0%,,24g,,0g,,0%,,0g,,,,0mg,,0%,,1mg,,0%,,0mg,,0%,,1mg,,0%,,,,x,,,,,,,,,,x,,,,,,,,,
Bluemoon,"3 FL OZ, 8 PK Bag",Blue Ice Cream with an Almond Flavor,"NONFAT MILK,  BUTTERMILK, CREAM, SUGAR,  CORN SYRUP, WHEY, NATURAL  AND ARTIFICIAL FLAVORS, BLUE 1  (COLOR), STABILIZER [GUAR GUM,  MONO AND DIGLYCERIDES,  XANTHAN GUM, POLYSORBATE  80, CARRAGEENAN], SEA SALT.  CONTAINS: MILK.",Milk,8,1 Unit (49g),90,,5g,,6%,,3.5g,,18%,,0g,,0%,,15mg,,0%,,35mg,,0%,,11g,,0%,,0g,,0%,,9g,,6g,,0%,,2g,,0%,,0mg,,0%,,60mg,,0%,,0mg,,0%,,90mg,,0%,,0mg,0%,x,,,,,,,,,,x,,,,,,,,,
Chocolate Malt,"3 FL OZ, 8 PK Bag",Chocolate Malt flavored Ice Cream,"NONFAT MILK,  SUGAR, CORN SYRUP, CREAM,  BUTTERMILK, MALTED MILK  POWDER [MALTED BARLEY,  WHEAT, WATER, MILK,  HYDROLYZED WHEAT GLUTEN,  SODIUM BICARBONATE, SALT],  WHEY, COCOA PROCESSED WITH  ALKALI, STABILIZER [GUAR GUM,  MONO AND DIGLYCERIDES,  XANTHAN GUM, POLYSORBATE 80,  CARRAGEENAN], FLAVOR [HIGH  FRUCTOSE CORN SYRUP,  NATURAL AND ARTIFICIAL  FLAVORS, CARAMEL COLOR], SEA  SALT. CONTAINS: MILK, WHEAT","Milk, Wheat",8,1 Unit (50g),80,,1.5g,,2%,,1g,,5%,,0g,,0%,,5mg,,0%,,45mg,,0%,,14g,,0%,,0g,,0%,,11g,,8g,,0%,,2g,,0%,,0mg,,0%,,60mg,,0%,,0mg,,0%,,110mg,,0%,,0mg,0%,x,,,,,,,,,,,,x,,,,,,,
Happy Birthday,"3 FL OZ, 8 PK Bag",Yellow Cake Flavored Ice Cream Sprinkles with Multi-Colored Candy Pieces," NONFAT MILK,  BUTTERMILK, CREAM, SUGAR,  CORN SYRUP, SEQUINS [SUGAR,  RICE FLOUR, VEGETABLE OIL  (PALM KERNELAND/OR PALM OIL),  CORN STARCH, GUM ARABIC,  CELLULOSE GUM,  CONFECTIONER'S GLAZE,  CARRAGEENAN, SOY LECITHIN  (EMULSIFIER), COLORS (YELLOW  6, RED 40, YELLOW 5, BLUE 1,  BLUE 2 LAKE), ARTIFICIAL  FLAVOR], WHEY, STABILIZER  [MONO & DIGLYCERIDES, GUAR  GUM, LOCUST BEAN GUM,  CARRAGEENAN], NATURAL AND  ARTIFICIAL FLAVOR, SEA SALT.  CONTAINS: MILK, SOY.","Milk, Soy",8,1 Unit (50g),100,,5g,,6%,,3.5g,,18%,,0g,,0%,,15mg,,0%,,35mg,,0%,,13g,,0%,,0g,,0%,,10g,,8g,,0%,,2g,,0%,,0mg,,0%,,60mg,,0%,,0mg,,0%,,90mg,,0%,,0mg,0%,x,,,,,,,,,,x,,,,,,,,,
Mint N Fudge,"3 FL OZ, 8 PK Bag", Mint Ice Cream with Fudge Swirl,"NONFAT MILK,  BUTTERMILK, CREAM, SUGAR,  CHOCOLATE FLAVORED FUDGE  [CORN SYRUP, WATER, COCOA  PROCESSED WITH ALKALI,  MODIFIED CORN STARCH, SALT,  VANILLA EXTRACT, SKIM MILK],  CORN SYRUP, WHEY, NATURAL  FLAVOR, STABILIZER [GUAR GUM,  MONO AND DIGLYCERIDES,  XANTHAN GUM, POLYSORBATE  80, CARRAGEENAN], FLAVOR AND  COLORING [NATURAL FLAVOR,  CARAMEL COLOR], COLOR  [YELLOW 5 & BLUE 1), SEA SALT.  CONTAINS: MILK.",Milk,8,1 Unit (53g),110,,4.5g,,6%,,3g,,15%,,0g,,0%,,15mg,,0%,,45mg,,0%,,15g,,0%,,0g,,0%,,11g,,8g,,0%,,2g,,0%,,0mg,,0%,,60mg,,0%,,0mg,,0%,,100mg,,0%,,0mg,0%,x,,,,,,,,,,,,x,,,,x,x,,
Rainbow Sherbet,"3 FL OZ, 8 PK Bag","Lime, Orange and Raspberry Flavored  Sherbets Swirled Together","NONFAT MILK,  SUGAR, WATER, CORN SYRUP,  CREAM, ORANGE PUREE  CONCENTRATE [WATER, ORANGE  JUICE CONCENTRATE, ORANGE  PULP, CORN SYRUP, NATURAL  FLAVOR, YELLOW 6 (COLOR)],  LIME PUREE CONCENTRATE  [WATER, CONCENTRATED LIME  JUICE, ORANGE PULP, CORN  SYRUP, NATURAL FLAVOR,  YELLOW 5AND BLUE 1 (COLOR),  CITRIC ACID], RASPBERRY PUREE  [HIGH FRUCTOSE CORN SYRUP,  WATER, RASPBERRY PUREE,  CONCENTRATED RASPBERRY  JUICE, NATURAL AND ARTIFICIAL  FLAVORS, MALIC ACID, RED 40  AND BLUE 1 (COLOR)], WHEY,  CITRIC ACID, STABILIZER [GUAR  GUM, MONO & DIGLYCERIDES,  XANTHAN GUM, POLYSORBATE  80, CARRAGEENAN], RED  RASPBERRY FLAVOR  [RASPBERRY PUREE, SUGAR,  NATURAL FLAVOR WITH OTHER  NATURAL FLAVORS, WATER,  CITRIC ACID, GUM TRAGACANTH,  CARAMEL COLOR, RED 40, BLUE  1, YELLOW 5 & 6, (COLOR)]. CONTAINS: MILK",Milk,8,1 Unit (64g),90,,1g,,1%,,0.5g,,3%,,0g,,0%,,5mg,,0%,,15mg,,0%,,20g,,0%,,0g,,0%,,15g,,14g,,0%,,1g,,0%,,0mg,,0%,,30mg,,0%,,0mg,,0%,,40mg,,0%,,0mg,0%,,,x,,,,,,,,,,,,,x,,,,
Raspberry Sherbet,"3 FL OZ, 8 PK Bag",Raspberry Flavored Sherbet,"NONFAT MILK,  SUGAR, WATER, CORN SYRUP,  CREAM,RASPBERRYPUREE  [FRUIT JUICE CONCENTRATE  (RASPBERRY JUICE  CONCENTRATE, PLUM JUICE  CONCENTRATE), WATER, CORN  SYRUP, RASPBERRIES, NATURAL  AND ARTIFICIAL FLAVORS, RED 40  (COLOR)), RASPBERRY PUREE  [HIGH FRUCTOSE CORN SYRUP,  WATER, RASPBERRY PUREE,  CONCENTRATED RASPBERRY  JUICE, NATURALANDARTIFICIAL  FLAVORS, MALIC ACID, RED 40  AND BLUE 1 (COLOR)], WHEY, RED  RASPBERRY FLAVOR BASE  [RASPBERRY PUREE, SUGAR,  NATURAL FLAVOR WITH OTHER  NATURAL FLAVORS, WATER,  CITRIC ACID, GUM TRAGACANTH,  CARAMELCOLOR,RED40AND  BLUE 1 (COLOR)], CITRIC ACID,  STABILIZER [GUAR GUM, MONO &  DIGLYCERIDES, XANTHAN GUM,  POLYSORBATE 80,  CARRAGEENAN], RED 40 AND  BLUE 1 (COLOR). CONTAINS: MILK",Milk,8,1 Unit (64g),90,,1g,,1%,,0.5g,,3%,,0g,,0%,,5mg,,0%,,20mg,,0%,,20g,,0%,,0g,,0%,,16g,,14g,,0%,,1g,,0%,,0mg,,0%,,30mg,,0%,,0mg,,0%,,40mg,,0%,,0mg,0%,,,x,,,,,,,,,,,,,x,,,,
Vanilla Ice Cream,"3 FL OZ, 8 PK Bag",Vanillia Flavored Ice Cream,"NONFAT MILK,  BUTTERMILK, CREAM, SUGAR,  CORN SYRUP, WHEY, STABILIZER  [GUAR GUM, MONO AND  DIGLYCERIDES, XANTHAN GUM,  POLYSORBATE 80,  CARRAGEENAN], FLAVOR [HIGH  FRUCTOSE CORN SYRUP,  NATURAL AND ARTIFICIAL  FLAVORS, CARAMEL COLOR], SEA  SALT, ANNATTO COLOR.  CONTAINS: MILK.",Milk,8,1 Unit (49g),90,,5g,,6%,,3.5g,,3.5g,,0g,,0%,,15mg,,0%,,35mg,,0%,,11g,,0%,,0g,,0%,,9g,,6g,,0%,,2g,,0%,,0mg,,0%,,60mg,,0%,,0mg,,0%,,90mg,,0%,,0mg,0%,x,,,,,,,,,,,,,,,,,,,x
Bluemoon,3 FL OZ,Blue Ice Cream with an Almond Flavor,"NONFAT MILK,  BUTTERMILK, CREAM, SUGAR,  CORN SYRUP, WHEY, NATURAL  AND ARTIFICIAL FLAVORS, BLUE 1  (COLOR), STABILIZER [GUAR GUM,  MONO AND DIGLYCERIDES,  XANTHAN GUM, POLYSORBATE  80, CARRAGEENAN], SEA SALT.  CONTAINS: MILK.",Milk,1,1 Unit (49g),90,,5g,,6%,,3.5g,,18g,,0g,,0%,,15mg,,0%,,35mg,,0%,,11g,,0%,,0g,,0%,,9g,,6g,,0%,,2g,,0%,,0mg,,0%,,60mg,,0%,,0mg,,0%,,90mg,,0%,,0mg,0%,x,,,,,,,,,,x,,,,,,,,,
Butterscotch Sundae,3 FL OZ,Vanilla Flavored Ice Cream with Butterscotch Swirl,"NONFAT MILK,  BUTTERMILK, CREAM, SUGAR,  BUTTERSCOTCH SWIRL [CORN  SWEETENERS (CORN AND HIGH  FRUCTOSE CORN SYRUPS),  SWEETENED CONDENSED SKIM  MILK (SKIM MILK, SUGAR, CORN  SYRUP), WATER, BUTTER  (CREAM, SALT), SALT, SODIUM  ALGINATE, SODIUM CITRATE,  MONO AND DIGLYCERIDES,  XANTHAN GUM, SODIUM  BICARBONATE], CORN SYRUP,  WHEY, STABILIZER [GUAR GUM,  MONO AND DIGLYCERIDES,  XANTHAN GUM, POLYSORBATE  80, CARRAGEENAN], FLAVOR  [HIGH FRUCTOSE CORN SYRUP,  NATURALANDARTIFICIAL  FLAVORS, CARAMEL COLOR], SEA  SALT, ANNATTO COLOR.  CONTAINS: MILK.",Milk,1,1 Unit (53g),110,,5g,,6%,,3.5g,,18%,,0g,,0%,,15mg,,0%,,65mg,,0%,,15g,,0%,,0g,,0%,,12g,,9g,,0%,,2g,,0%,,0mg,,0%,,60mg,,0%,,0mg,,0%,,90mg,,0%,,0mg,0%,x,,,,,,,,,,x,,,,,,,,,x
Chocolate Malt,3 FL OZ,Chocolate Malt flavored Ice Cream,"NONFAT MILK,  SUGAR, CORN SYRUP, CREAM,  BUTTERMILK, MALTED MILK  POWDER [MALTED BARLEY,  WHEAT, WATER, MILK,  HYDROLYZED WHEAT GLUTEN,  SODIUM BICARBONATE, SALT],  WHEY, COCOA PROCESSED WITH  ALKALI, STABILIZER [GUAR GUM,  MONO AND DIGLYCERIDES,  XANTHAN GUM, POLYSORBATE 80,  CARRAGEENAN], FLAVOR [HIGH  FRUCTOSE CORN SYRUP,  NATURAL AND ARTIFICIAL  FLAVORS, CARAMEL COLOR], SEA  SALT. CONTAINS: MILK, WHEAT","Milk, Wheat",1,1 Unit (50g),80,,1.5g,,2%,,1g,,5%,,0g,,0%,,5mg,,0%,,45mg,,0%,,14g,,0%,,0g,,0%,,11g,,8g,,0%,,2g,,0%,,0mg,,0%,,60mg,,0%,,0mg,,0%,,110mg,,0%,,0mg,0%,x,,,,,,,,,,,,x,,,,,,,
Chocolate Sundae,3FL OZ,Vanilla Flavored Ice Cream with a Chocolate Swirl,"NONFAT MILK,  BUTTERMILK, CREAM, SUGAR,  CHOCOLATE FLAVORED SWIRL  [CORN SYRUP, WATER, COCOA  PROCESSED WITH ALKALI,  MODIFIED CORN STARCH, SALT,  VANILLA EXTRACT, SKIM MILK),  CORN SYRUP, WHEY, STABILIZER  [GUAR GUM, MONO AND  DIGLYCERIDES, XANTHAN GUM,  POLYSORBATE 80,  CARRAGEENAN), FLAVOR [HIGH  FRUCTOSE CORN SYRUP,  NATURAL AND ARTIFICIAL  FLAVORS, CARAMEL COLOR], SEA  SALT, ANNATTO COLOR.  CONTAINS: MILK.",Milk,1,1 Unit (52g),100,,4.5g,,6%,,3g,,15%,,0g,,0%,,15mg,,0%,,40mg,,0%,,15g,,0%,,0g,,0%,,11g,,8g,,0%,,2g,,0%,,0mg,,0%,,60mg,,0%,,0mg,,0%,,100mg,,0%,,0mg,0%,x,,,,,,,,,,,,x,,,,,,,
Happy Birthday,3 FL OZ,Yellow Cake Flavored Ice Cream Sprinkles with Multi-Colored Candy Pieces," NONFAT MILK,  BUTTERMILK, CREAM, SUGAR,  CORN SYRUP, SEQUINS [SUGAR,  RICE FLOUR, VEGETABLE OIL  (PALM KERNELAND/OR PALM OIL),  CORN STARCH, GUM ARABIC,  CELLULOSE GUM,  CONFECTIONER'S GLAZE,  CARRAGEENAN, SOY LECITHIN  (EMULSIFIER), COLORS (YELLOW  6, RED 40, YELLOW 5, BLUE 1,  BLUE 2 LAKE), ARTIFICIAL  FLAVOR], WHEY, STABILIZER  [MONO & DIGLYCERIDES, GUAR  GUM, LOCUST BEAN GUM,  CARRAGEENAN], NATURAL AND  ARTIFICIAL FLAVOR, SEA SALT.  CONTAINS: MILK, SOY.","Milk, Soy",1,1 Unit (50g),100,,5g,,6%,,3.5g,,18%,,0g,,0%,,15mg,,0%,,35mg,,0%,,13g,,0%,,0g,,0%,,10g,,8g,,0%,,2g,,0%,,0mg,,0%,,60mg,,0%,,0mg,,0%,,90mg,,0%,,0mg,0%,x,,,,,,,,,,x,,,,,,,,,
Mint N Fudge,3 FL OZ, Mint Ice Cream with Fudge Swirl,"NONFAT MILK,  BUTTERMILK, CREAM, SUGAR,  CHOCOLATE FLAVORED FUDGE  [CORN SYRUP, WATER, COCOA  PROCESSED WITH ALKALI,  MODIFIED CORN STARCH, SALT,  VANILLA EXTRACT, SKIM MILK],  CORN SYRUP, WHEY, NATURAL  FLAVOR, STABILIZER [GUAR GUM,  MONO AND DIGLYCERIDES,  XANTHAN GUM, POLYSORBATE  80, CARRAGEENAN], FLAVOR AND  COLORING [NATURAL FLAVOR,  CARAMEL COLOR], COLOR  [YELLOW 5 & BLUE 1), SEA SALT.  CONTAINS: MILK.",Milk,1,1 Unit (53g),110,,5g,,6%,,3g,,15%,,0g,,0%,,15mg,,0%,,45mg,,0%,,15g,,0%,,0g,,0%,,11g,,8g,,0%,,2g,,0%,,0mg,,0%,,60mg,,0%,,0mg,,0%,,100mg,,0%,,0mg,0%,x,,,,,,,,,,,,x,,,,x,x,,
Raspberry Sherbet,3 FL OZ,Raspberry Flavored Sherbet,"NONFAT MILK,  SUGAR, WATER, CORN SYRUP,  CREAM,RASPBERRYPUREE  [FRUIT JUICE CONCENTRATE  (RASPBERRY JUICE  CONCENTRATE, PLUM JUICE  CONCENTRATE), WATER, CORN  SYRUP, RASPBERRIES, NATURAL  AND ARTIFICIAL FLAVORS, RED 40  (COLOR)), RASPBERRY PUREE  [HIGH FRUCTOSE CORN SYRUP,  WATER, RASPBERRY PUREE,  CONCENTRATED RASPBERRY  JUICE, NATURALANDARTIFICIAL  FLAVORS, MALIC ACID, RED 40  AND BLUE 1 (COLOR)], WHEY, RED  RASPBERRY FLAVOR BASE  [RASPBERRY PUREE, SUGAR,  NATURAL FLAVOR WITH OTHER  NATURAL FLAVORS, WATER,  CITRIC ACID, GUM TRAGACANTH,  CARAMELCOLOR,RED40AND  BLUE 1 (COLOR)], CITRIC ACID,  STABILIZER [GUAR GUM, MONO &  DIGLYCERIDES, XANTHAN GUM,  POLYSORBATE 80,  CARRAGEENAN], RED 40 AND  BLUE 1 (COLOR). CONTAINS: MILK",Milk,1,1 Unit (64g),90,,5g,,1%,,0.5g,,3%,,0g,,0%,,5mg,,0%,,20mg,,0%,,20g,,0%,,0g,,0%,,16g,,14g,,0%,,1g,,0%,,0mg,,0%,,30mg,,0%,,0mg,,0%,,40mg,,0%,,0mg,0%,,,x,,,,,,,,,,,,,x,,,,
Rainbow Sherbet,3 FL OZ,"Lime, Orange and Raspberry Flavored  Sherbets","NONFAT MILK,  SUGAR, WATER, CORN SYRUP,  CREAM, ORANGE PUREE  CONCENTRATE [WATER, ORANGE  JUICE CONCENTRATE, ORANGE  PULP, CORN SYRUP, NATURAL  FLAVOR, YELLOW 6 (COLOR)],  LIME PUREE CONCENTRATE  [WATER, CONCENTRATED LIME  JUICE, ORANGE PULP, CORN  SYRUP, NATURAL FLAVOR,  YELLOW 5AND BLUE 1 (COLOR),  CITRIC ACID], RASPBERRY PUREE  [HIGH FRUCTOSE CORN SYRUP,  WATER, RASPBERRY PUREE,  CONCENTRATED RASPBERRY  JUICE, NATURAL AND ARTIFICIAL  FLAVORS, MALIC ACID, RED 40  AND BLUE 1 (COLOR)], WHEY,  CITRIC ACID, STABILIZER [GUAR  GUM, MONO & DIGLYCERIDES,  XANTHAN GUM, POLYSORBATE  80, CARRAGEENAN], RED  RASPBERRY FLAVOR  [RASPBERRY PUREE, SUGAR,  NATURAL FLAVOR WITH OTHER  NATURAL FLAVORS, WATER,  CITRIC ACID, GUM TRAGACANTH,  CARAMEL COLOR, RED 40, BLUE  1, YELLOW 5 & 6, (COLOR)]. CONTAINS: MILK",Milk,1,1 Unit (64g),90,,5g,,1%,,0.5g,,3%,,0g,,0%,,5mg,,0%,,15mg,,0%,,20g,,0%,,0g,,0%,,15g,,14g,,0%,,1g,,0%,,0mg,,0%,,30mg,,0%,,0mg,,0%,,40mg,,0%,,0mg,0%,,,x,,,,,,,,,,,,,x,,,,
Strawberry Sundae,3 FL OZ,Vanilla Flavored Ice Cream with Strawberry Swirl,"NONFAT MILK,  BUTTERMILK, CREAM, SUGAR,  STRAWBERRY FLAVORED SWIRL  [CORN SYRUP, WATER, MODIFIED  CORN STARCH, SUGAR, NATURAL  AND ARTIFICIAL FLAVORS, CITRIC  ACID, CELLULOSE GUM, RED 40  (COLOR), BLUE 1 (COLOR)], CORN  SYRUP, WHEY, STABILIZER [GUAR  GUM, MONO AND DIGLYCERIDES,  XANTHAN GUM, POLYSORBATE  80, CARRAGEENAN], FLAVOR  [HIGH FRUCTOSE CORN SYRUP,  NATURALANDARTIFICIAL  FLAVOR, CARAMEL COLOR], SEA  SALT. CONTAINS: MILK.",Milk,1,1 Unit (52g),100,,5g,,6%,,3g,,15%,,0g,,0%,,15mg,,0%,,35mg,,0%,,13g,,0%,,0g,,0%,,10g,,5g,,0%,,1g,,0%,,0mg,,0%,,60mg,,0%,,0mg,,0%,,90mg,,0%,,0mg,0%,x,,,,,,,,,,,,,,,x,,,,x
Vanilla Ice Cream,3 FL OZ,Vanilla Flavored Ice Cream,"NONFAT MILK,  BUTTERMILK, CREAM, SUGAR,  CORN SYRUP, WHEY, STABILIZER  [GUAR GUM, MONO AND  DIGLYCERIDES, XANTHAN GUM,  POLYSORBATE 80,  CARRAGEENAN], FLAVOR [HIGH  FRUCTOSE CORN SYRUP,  NATURAL AND ARTIFICIAL  FLAVORS, CARAMEL COLOR], SEA  SALT, ANNATTO COLOR.  CONTAINS: MILK.",Milk,1,1 Unit (49g),90,,5g,,6%,,3.5g,,15%,,0g,,0%,,15mg,,0%,,35mg,,0%,,11g,,0%,,0g,,0%,,9g,,6g,,0%,,2g,,0%,,0mg,,0%,,60mg,,0%,,0mg,,0%,,90mg,,0%,,0mg,0%,x,,,,,,,,,,,,,,,,,,,x
